participant_id,test_id,test_duration,mental,physical,temporal,performance,effort,frustration,mean,mean_pupil_diameter,median_pupil_diameter,blinkrate,fixationrate
24,3,58.50428799999645,100,5,5,50,100,5,44.2,45.54591514277486,46.39500617980955,0.44441186943428107,0.1709335001507713
24,4,118.5761829999974,100,75,5,50,100,10,56.7,47.96290086998383,49.4218978881836,0.3963696487008781,0.26377102802842284
25,1,36.958413999993354,25,10,10,5,25,5,13.3,37.886366373787425,34.9748802185059,0.027057438124920074,0.29759575769131386
25,2,23.762040000001434,80,25,15,10,50,5,30.8,41.80037397573447,39.1338921164634,,0.3367138917018829
25,3,71.43637800001306,65,30,50,20,75,15,42.5,46.89004626193186,43.331326185075795,0.2939678716633164,0.237994182232232
25,4,47.77603399999498,85,25,50,30,70,10,45,44.41303828674693,41.304249729114,0.3139649473625537,0.2720574273885403
26,1,25.323827999993227,25,25,25,10,30,15,21.7,36.01967989287425,35.84453964233395,,0.23691208316974646
26,2,33.077923000004375,30,25,30,50,35,20,31.7,38.82857504872661,38.7066268920898,0.1209265769195808,0.3325509015255819
26,3,52.27679800000624,80,30,25,75,65,75,58.3,43.55288819103459,42.9799613952637,0.15303156096130918,0.24862918299947429
26,4,42.239288000011584,75,30,30,65,65,60,54.2,40.27769482390116,39.92456436157225,0.33144498079598694,0.21303445892731704
27,1,31.000108999956865,25,5,5,45,20,5,17.5,35.91002306791273,36.9715347290039,,0.2257527443068963
27,2,26.37123300001258,80,10,65,25,65,25,45,35.94548486086577,35.1016540527344,,0.2654599111921227
27,3,129.71973400004208,100,10,5,65,90,60,55,37.891550303192695,37.1603164672852,0.308357092375683,0.3006358251132573
27,4,47.84480600000825,90,10,55,70,80,95,66.7,36.22748783222554,34.5113067626953,0.29261274463099685,0.18809241469370253
28,1,41.64136999996845,25,10,25,35,20,70,30.8,32.928453534178324,32.85029983520505,0.12007289865832436,0.31219792224395243
28,2,19.435869999986608,25,15,75,25,25,70,39.2,33.61975187091335,33.624721527099595,,0.20584527506112946
28,3,44.835928999993484,50,15,15,60,75,50,44.2,35.750811898434534,35.70405197143555,0.22303541429913168,0.26766066618674145
28,4,33.434287999989465,50,15,15,30,55,60,37.5,35.05409034422274,34.815071105957,0.2990941514891285,0.3294777991041919
