participant_id,test_id,test_duration,mental,physical,temporal,performance,effort,frustration,mean,mean_pupil_diameter,median_pupil_diameter,blinkrate,fixationrate,blinkrate_rel,fixationrate_rel,mean_pupil_diameter_rel,median_pupil_diameter_rel,blinkrate_var,blinkrate_std,fixationrate_var,fixationrate_std,mean_pupil_diameter_var,mean_pupil_diameter_std,median_pupil_diameter_var,median_pupil_diameter_std
6,4,63.49628799999482,80,80,80,60,80,5,64.2,30.88224491493376,31.07184410095215,0.3937238031930629,0.2362194308434267,0.3234816073995523,0.0021184816681386887,0.7949296739896319,1.078912734985348,0.02943991350087236,0.17158063265086873,0.0019307133614523677,0.043939883493841536,0.07776959286185633,0.27887200085676644,0.18851833953431427,0.43418698683207246
7,1,28.36037700000452,15,15,25,0,40,5,16.7,29.70791732372117,29.3921740490217,0.211562772949,0.3877749231666636,0.0,0.0,0.0,0.0,0.013057312368632102,0.11426859747381213,0.0028405406319032484,0.053296722524966283,0.7799917869825049,0.8831714369149994,0.7689788362863963,0.8769143836694642
7,2,49.68001799998456,75,90,15,45,95,90,68.3,30.12989181588443,30.06641656667225,0.1006440859180355,0.3220099733733646,-0.1109186870309645,-0.065764949793299,0.42197449216326177,0.6742425176505478,0.013057312368632102,0.11426859747381213,0.0028405406319032484,0.053296722524966283,0.7799917869825049,0.8831714369149994,0.7689788362863963,0.8769143836694642
7,3,54.69304700000794,90,100,50,10,100,25,62.5,31.635394866877697,31.44195180545195,0.3291094752866372,0.3290836867675795,0.1175467023376372,-0.058691236399084135,1.9274775431565274,2.049777756430249,0.013057312368632102,0.11426859747381213,0.0028405406319032484,0.053296722524966283,0.7799917869825049,0.8831714369149994,0.7689788362863963,0.8769143836694642
7,4,45.48808699997608,50,25,50,15,50,15,34.2,31.68268757986728,31.6964493366517,0.219837778625539,0.4176559709296839,0.008275005676538993,0.029881047763020252,1.9747702561461118,2.3042752876299986,0.013057312368632102,0.11426859747381213,0.0028405406319032484,0.053296722524966283,0.7799917869825049,0.8831714369149994,0.7689788362863963,0.8769143836694642
8,1,34.02062299998943,10,10,50,20,10,5,17.5,36.85226548797926,36.94692993164065,0.0,0.2351293922188949,0.0,0.0,0.0,0.0,0.03784082579057023,0.19452718522245221,0.004324137585294213,0.06575817504534484,1.8728302500115426,1.3685138837481856,1.7410536743040101,1.3194899295955276
8,2,35.72016500000609,10,10,30,25,10,10,15.8,38.08283717347885,38.3565330505371,0.0,0.3639305416727287,0.0,0.1288011494538338,1.2305716854995907,1.4096031188964488,0.03784082579057023,0.19452718522245221,0.004324137585294213,0.06575817504534484,1.8728302500115426,1.3685138837481856,1.7410536743040101,1.3194899295955276
8,3,50.01470800000243,25,10,25,40,40,20,26.7,37.47736983331714,37.5503907434512,0.3798882520717521,0.3598907371720743,0.3798882520717521,0.12476134495317942,0.6251043453378813,0.6034608118105496,0.03784082579057023,0.19452718522245221,0.004324137585294213,0.06575817504534484,1.8728302500115426,1.3685138837481856,1.7410536743040101,1.3194899295955276
8,4,68.53223099999013,60,10,50,60,50,50,46.7,40.09171500298714,40.1296424865723,0.2626501390273226,0.2480678849732052,0.2626501390273226,0.012938492754310305,3.239449515007877,3.1827125549316477,0.03784082579057023,0.19452718522245221,0.004324137585294213,0.06575817504534484,1.8728302500115426,1.3685138837481856,1.7410536743040101,1.3194899295955276
9,1,30.35639299999457,5,5,5,15,5,5,6.7,25.64432590665754,25.583750724792505,0.0658839803530135,0.2964393484105026,0.0,0.0,0.0,0.0,0.015058664176676905,0.12271374893090385,0.006004374369809829,0.07748789821520409,3.0351206834409696,1.742159775520308,3.0860077552991334,1.7567036617765484
9,2,22.639870999992127,5,5,10,25,5,5,9.2,25.864464601488045,25.837776184082,0.088339725964017,0.3533249601207537,0.022455745611003497,0.05688561171025108,0.2201386948305064,0.25402545928949394,0.015058664176676905,0.12271374893090385,0.006004374369809829,0.07748789821520409,3.0351206834409696,1.742159775520308,3.0860077552991334,1.7567036617765484
9,3,62.9518129999924,85,5,70,85,80,65,65.0,29.34233742056396,29.341856956481895,0.3018181541491473,0.2065335883906613,0.2359341737961338,-0.08990576001984132,3.6980115139064225,3.758106231689389,0.015058664176676905,0.12271374893090385,0.006004374369809829,0.07748789821520409,3.0351206834409696,1.742159775520308,3.0860077552991334,1.7567036617765484
9,4,43.34174599999096,90,80,90,70,80,35,74.2,27.41992746777626,27.3682613372803,0.2999417697663289,0.3229681287784275,0.2340577894133154,0.026528780367924887,1.775601561118723,1.784510612487793,0.015058664176676905,0.12271374893090385,0.006004374369809829,0.07748789821520409,3.0351206834409696,1.742159775520308,3.0860077552991334,1.7567036617765484
10,1,28.608831999998078,15,5,5,35,5,35,16.7,31.7821202942602,31.894225711525102,0.0349542407044113,0.2096560152790358,0.0,0.0,0.0,0.0,0.14629703310495604,0.382487951581427,0.001288306662490711,0.03589298904369363,1.7052192890402986,1.305840453133651,1.8484545335704055,1.359578807414416
10,2,29.27637199999299,5,5,5,25,5,10,9.2,34.83641136170723,34.8148651123047,0.0,0.3415053106722434,-0.0349542407044113,0.13184929539320758,3.0542910674470285,2.9206394007795993,0.14629703310495604,0.382487951581427,0.001288306662490711,0.03589298904369363,1.7052192890402986,1.305840453133651,1.8484545335704055,1.359578807414416
10,3,86.80883599998197,75,5,50,35,70,35,45.0,36.14049502933339,36.3779690934858,0.7487717033783693,0.3110241364752344,0.713817462673958,0.10136812119619862,4.358374735073188,4.4837433819607,0.14629703310495604,0.382487951581427,0.001288306662490711,0.03589298904369363,1.7052192890402986,1.305840453133651,1.8484545335704055,1.359578807414416
10,4,33.33198299998185,80,5,55,30,70,25,44.2,37.44809148050913,37.5233039855957,0.5100206609372523,0.2699789038484224,0.475066420232841,0.060322888569386585,5.665971186248928,5.629078274070601,0.14629703310495604,0.382487951581427,0.001288306662490711,0.03589298904369363,1.7052192890402986,1.305840453133651,1.8484545335704055,1.359578807414416
11,1,58.98962500000016,50,10,15,10,50,5,23.3,35.06567663060581,35.17853927612305,0.2203777359154252,0.2712338146518716,0.0,0.0,0.0,0.0,0.025399283369820738,0.15937152622040343,0.0044934045580637405,0.06703286177736813,1.6575008122156283,1.2874396343967465,1.53437259381943,1.238697942930168
11,2,29.223727999999937,50,25,45,15,35,5,29.2,36.47566684887251,36.49486923217775,0.0684375381539276,0.4106537335379842,-0.1519401977614976,0.1394199188861126,1.4099902182666995,1.3163299560547017,0.025399283369820738,0.15937152622040343,0.0044934045580637405,0.06703286177736813,1.6575008122156283,1.2874396343967465,1.53437259381943,1.238697942930168
11,3,112.81013000000075,90,15,85,35,85,75,64.2,38.97680621697316,38.9465751647949,0.3811714426709703,0.2925161524095321,0.1607937067555451,0.02128233775766053,3.911129586367352,3.7680358886718537,0.025399283369820738,0.15937152622040343,0.0044934045580637405,0.06703286177736813,1.6575008122156283,1.2874396343967465,1.53437259381943,1.238697942930168
11,4,53.927308999999696,85,10,95,40,90,70,65.0,38.25607502968358,38.0288963317871,0.2781522067047715,0.2966955303513769,0.05777447078934628,0.02546171569950534,3.190398399077772,2.8503570556640554,0.025399283369820738,0.15937152622040343,0.0044934045580637405,0.06703286177736813,1.6575008122156283,1.2874396343967465,1.53437259381943,1.238697942930168
12,1,39.5007409999962,20,10,10,5,20,5,11.7,28.166030459489107,28.05805206298825,0.0,0.379737894778591,0.0,0.0,0.0,0.0,0.022367541536884056,0.1495578200459075,0.003406405821342815,0.058364422564973734,0.12158990285803384,0.34869743741248493,0.12650349746434056,0.35567330159057564
12,2,23.04643800000485,40,25,55,40,45,10,35.8,29.889349126158773,29.9427242279053,0.0,0.21692468990833,0.0,-0.162813204870261,1.723318666669666,1.884672164917049,0.022367541536884056,0.1495578200459075,0.003406405821342815,0.058364422564973734,0.12158990285803384,0.34869743741248493,0.12650349746434056,0.35567330159057564
